batter,total_runs,total_balls,dismissals,matches_played_x,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,matches_played_y,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score
0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,82.0,13.0,4.0,6.3076923076923075,10.25,9.75,2.0,27.384615384615387
UT Yadav,86.0,78.0,8.0,15.0,10.75,110.25641025641026,27.0,803.0,95.0,29.0,8.452631578947368,29.74074074074074,21.11111111111111,0.9310344827586207,26.99170854855973
RD Chahar,114.0,114.0,14.0,17.0,8.142857142857142,100.0,61.0,1745.0,225.0,62.0,7.7555555555555555,28.60655737704918,22.131147540983605,0.9838709677419355,26.609165386584742
KH Pandya,756.0,652.0,42.0,61.0,18.0,115.95092024539878,40.0,1451.0,202.0,65.0,7.183168316831683,36.275,30.3,0.6153846153846154,26.5315397231087
Harpreet Brar,213.0,187.0,12.0,23.0,17.75,113.90374331550801,25.0,827.0,109.0,37.0,7.587155963302752,33.08,26.16,0.6756756756756757,26.44495025000961
PK Garg,273.0,247.0,19.0,19.0,14.368421052631579,110.5263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.415789473684214
0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,524.0,77.0,20.0,6.805194805194805,13.789473684210526,12.157894736842104,1.9,24.38961038961039
B Kumar,123.0,141.0,11.0,24.0,11.181818181818182,87.2340425531915,54.0,1708.0,218.0,59.0,7.834862385321101,31.62962962962963,24.22222222222222,0.9152542372881356,23.43671394030427
0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,281.0,28.0,7.0,10.035714285714286,18.733333333333334,11.2,2.142857142857143,22.78571428571428
Washington Sundar,303.0,285.0,21.0,26.0,14.428571428571429,106.3157894736842,22.0,866.0,117.0,38.0,7.401709401709402,39.36363636363637,31.90909090909091,0.5789473684210527,22.367257888310522
VR Iyer,1332.0,1008.0,44.0,50.0,30.272727272727273,132.14285714285714,3.0,140.0,14.0,9.0,10.0,46.666666666666664,28.0,0.3333333333333333,22.177056277056273
N Rana,1562.0,1190.0,55.0,61.0,28.4,131.26050420168067,3.0,140.0,16.0,13.0,8.75,46.666666666666664,32.0,0.23076923076923078,21.88748545572075
MK Lomror,499.0,365.0,28.0,32.0,17.821428571428573,136.7123287671233,2.0,96.0,12.0,9.0,8.0,48.0,36.0,0.2222222222222222,21.13333876929768
AK Markram,1010.0,800.0,34.0,43.0,29.705882352941178,126.25,2.0,170.0,21.0,14.0,8.095238095238095,85.0,63.0,0.14285714285714285,20.82843137254902
Lalit Yadav,305.0,301.0,15.0,21.0,20.333333333333332,101.32890365448506,11.0,419.0,48.0,19.0,8.729166666666666,38.09090909090909,26.181818181818183,0.5789473684210527,20.486394765984738
Shahbaz Ahmed,545.0,475.0,30.0,38.0,18.166666666666668,114.73684210526316,21.0,846.0,92.0,43.0,9.195652173913043,40.285714285714285,26.285714285714285,0.4883720930232558,19.77350593369166
DJ Hooda,945.0,744.0,44.0,52.0,21.477272727272727,127.01612903225808,3.0,217.0,25.0,13.0,8.68,72.33333333333333,50.0,0.23076923076923078,19.10179224001805
Ravi Bishnoi,32.0,54.0,8.0,15.0,4.0,59.25925925925925,70.0,1837.0,240.0,66.0,7.654166666666667,26.242857142857144,20.571428571428573,1.0606060606060606,18.955639730639728
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,81.0,11.0,3.0,7.363636363636363,16.2,13.2,1.6666666666666667,18.60606060606061
0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,854.0,92.0,27.0,9.282608695652174,17.791666666666668,11.5,1.7777777777777777,16.99033816425121
0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,437.0,53.0,14.0,8.245283018867925,19.0,13.826086956521738,1.6428571428571428,16.366576819407005
0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,407.0,45.0,13.0,9.044444444444444,18.5,12.272727272727273,1.6923076923076923,15.757264957264958
